"","Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","CP","UP","ED","DE","CM","GA","MI5","One.Percenters","BO","CCL","SCL","SI","MG","TO","ITC","T5","TOG","K","HB","D","M","G","B","T","HO","GA1","I50","CL","CG","R50","FF","FA","AF","SC"
"1",2019-03-21,2019,"Round 1","MCG","Patrick Cripps","Carlton","Richmond","Home",9721,21,11,26,81.2,0,0,0,0,1,4,3,5,263,3,4,0,89,10,22,32,1,0,0,6,0,0,2,7,3,2,3,1,101,126
"2",2019-03-21,2019,"Round 1","MCG","Marc Murphy","Carlton","Richmond","Home",9721,6,23,21,72.4,0,0,0,0,0,0,1,7,530,5,3,0,87,16,13,29,4,1,0,1,0,0,5,1,1,4,1,0,97,91
"3",2019-03-21,2019,"Round 1","MCG","Kade Simpson","Carlton","Richmond","Home",9721,5,19,21,77.8,0,0,0,1,0,1,1,2,462,2,6,0,84,15,12,27,6,0,0,1,0,0,1,2,1,5,1,0,92,83
"4",2019-03-21,2019,"Round 1","MCG","Dale Thomas","Carlton","Richmond","Home",9721,6,17,23,85.2,0,1,0,4,0,0,0,8,434,4,6,0,78,15,12,27,3,1,0,2,0,1,3,0,4,5,1,1,90,93
"5",2019-03-21,2019,"Round 1","MCG","Nic Newman","Carlton","Richmond","Home",9721,5,17,22,84.6,0,0,0,3,0,0,1,4,584,2,6,0,84,21,5,26,9,1,0,2,0,0,2,1,2,12,1,0,115,134
"6",2019-03-21,2019,"Round 1","MCG","Edward Curnow","Carlton","Richmond","Home",9721,7,18,18,72,0,1,2,1,0,0,2,8,303,6,0,2,82,13,12,25,12,0,1,3,0,1,3,2,4,1,1,0,113,98
"7",2019-03-21,2019,"Round 1","MCG","Will Setterfield","Carlton","Richmond","Home",9721,8,16,12,50,0,2,1,3,0,1,2,4,332,5,1,0,66,14,10,24,2,0,1,1,0,2,3,3,3,1,1,1,71,69
"8",2019-03-21,2019,"Round 1","MCG","Sam Walsh","Carlton","Richmond","Home",9721,8,16,13,54.2,0,1,0,0,1,0,4,5,430,7,1,1,82,16,8,24,6,0,1,1,0,1,5,4,6,1,0,0,87,68
"9",2019-03-21,2019,"Round 1","MCG","David Cuningham","Carlton","Richmond","Home",9721,10,15,15,68.2,0,1,0,0,0,2,1,6,328,4,0,2,79,9,13,22,5,0,0,5,0,1,5,3,7,0,1,2,83,67
"10",2019-03-21,2019,"Round 1","MCG","Zac Fisher","Carlton","Richmond","Home",9721,12,13,15,68.2,0,1,0,3,0,3,5,6,391,7,1,0,80,14,8,22,2,1,1,6,0,1,3,8,5,0,1,4,84,109
"11",2019-03-21,2019,"Round 1","MCG","Paddy Dow","Carlton","Richmond","Home",9721,9,12,14,66.7,0,0,1,1,0,1,0,5,195,4,5,0,76,8,13,21,3,0,1,2,0,0,3,1,4,1,1,1,66,66
"12",2019-03-21,2019,"Round 1","MCG","Sam P-Seton","Carlton","Richmond","Home",9721,4,14,11,61.1,0,0,0,1,0,1,1,0,282,6,4,0,85,12,6,18,8,0,0,2,0,0,4,2,2,2,1,0,81,63
"13",2019-03-21,2019,"Round 1","MCG","Jacob Weitering","Carlton","Richmond","Home",9721,8,7,15,88.2,3,0,0,6,0,0,0,2,302,2,12,0,98,13,4,17,7,0,0,2,0,0,1,0,3,3,0,2,70,86
"14",2019-03-21,2019,"Round 1","MCG","Lachlan Plowman","Carlton","Richmond","Home",9721,4,8,13,100,0,0,0,11,0,0,1,2,169,1,6,0,91,11,2,13,6,0,0,3,0,0,0,1,1,2,3,1,67,96
